Column,TitleLong,Week,Title,Vote,Count,SpecialWeek,ExtraRow
1466," [Happy People: A Year in the Taiga (2010, 1:34)]",2021-06-07,HappyPeople,I would REALLY LIKE to watch this film,2,documentaries,
186," [Icarus (2017, 2:01)]",2021-06-07,Icarus,I do not love this film but would still show up,7,documentaries,
837," [Icarus (2017, 2:01)]",2021-06-07,Icarus,I would NOT come to watch this film,1,documentaries,
1488," [Icarus (2017, 2:01)]",2021-06-07,Icarus,I would REALLY LIKE to watch this film,2,documentaries,
228," [Lo and Behold: Reveries of the Connected World (2016, 1:34)]",2021-06-07,LoAndBehold,I do not love this film but would still show up,4,documentaries,
879," [Lo and Behold: Reveries of the Connected World (2016, 1:34)]",2021-06-07,LoAndBehold,I would NOT come to watch this film,3,documentaries,
1530," [Lo and Behold: Reveries of the Connected World (2016, 1:34)]",2021-06-07,LoAndBehold,I would REALLY LIKE to watch this film,3,documentaries,
257," [Murderball (2005, 1:26)]",2021-06-07,Murderball,I do not love this film but would still show up,4,documentaries,
908," [Murderball (2005, 1:26)]",2021-06-07,Murderball,I would NOT come to watch this film,2,documentaries,
1559," [Murderball (2005, 1:26)]",2021-06-07,Murderball,I would REALLY LIKE to watch this film,4,documentaries,
274," [Paris Is Burning (1990, 1:17)]",2021-06-07,ParisIsBurning,I do not love this film but would still show up,1,documentaries,
925," [Paris Is Burning (1990, 1:17)]",2021-06-07,ParisIsBurning,I would NOT come to watch this film,1,documentaries,
1576," [Paris Is Burning (1990, 1:17)]",2021-06-07,ParisIsBurning,I would REALLY LIKE to watch this film,8,documentaries,
491," [Tickled (2016, 1:32)]",2021-06-07,Tickled,I do not love this film but would still show up,3,documentaries,
1142," [Tickled (2016, 1:32)]",2021-06-07,Tickled,I would NOT come to watch this film,2,documentaries,
1793," [Tickled (2016, 1:32)]",2021-06-07,Tickled,I would REALLY LIKE to watch this film,5,documentaries,
540," [We Live in Public (2007, 1:29)]",2021-06-07,WeLiveInPublic,I do not love this film but would still show up,3,documentaries,
1191," [We Live in Public (2007, 1:29)]",2021-06-07,WeLiveInPublic,I would NOT come to watch this film,3,documentaries,
1842," [We Live in Public (2007, 1:29)]",2021-06-07,WeLiveInPublic,I would REALLY LIKE to watch this film,4,documentaries,
293," [Pokemon: Detective Pikachu (2019, 1:44)]",2021-06-28,DetectivePikachu,I do not love this film but would still show up,5,,
944," [Pokemon: Detective Pikachu (2019, 1:44)]",2021-06-28,DetectivePikachu,I would NOT come to watch this film,1,,
1595," [Pokemon: Detective Pikachu (2019, 1:44)]",2021-06-28,DetectivePikachu,I would REALLY LIKE to watch this film,8,,
432," [The Grand Budapest Hotel (2014, 1:40)]",2021-06-28,GrandBudapestHotel,I do not love this film but would still show up,7,,
1083," [The Grand Budapest Hotel (2014, 1:40)]",2021-06-28,GrandBudapestHotel,I would NOT come to watch this film,5,,
1734," [The Grand Budapest Hotel (2014, 1:40)]",2021-06-28,GrandBudapestHotel,I would REALLY LIKE to watch this film,2,,
183," [Hunt for the Wilderpeople (2016, 1:41)]",2021-06-28,HuntForTheWilderpeople,I do not love this film but would still show up,6,,
834," [Hunt for the Wilderpeople (2016, 1:41)]",2021-06-28,HuntForTheWilderpeople,I would NOT come to watch this film,1,,
1485," [Hunt for the Wilderpeople (2016, 1:41)]",2021-06-28,HuntForTheWilderpeople,I would REALLY LIKE to watch this film,7,,
