"Votes [Beetlejuice (1988, 1:32)]",Beetlejuice
"Votes [Tremors (1990, 1:36)]",Tremors
"Votes [Clueless (1995, 1:37)]",Clueless
"Votes [Twister (1996, 1:53)]",Twister
"Votes [Romy and Michele's High School Reunion (1997, 1:32)]",RomyAndMichele
"Votes [Babe 2: Pig in the City (1998, 1:36)]",Babe2
"Votes [Legally Blonde (2001, 1:36)]",LegallyBlonde
"Votes [RED (2010, 1:51)]",RED
