"Votes [The Mummy (1999, 2:04)]",TheMummy
"Votes [Undercover Brother (2002, 1:26)]",UndercoverBrother
"Votes [Babe 2: Pig in the City (1998, 1:36)]",Babe2
"Votes [Black Dynamite (2009, 1:24)]",BlackDynamite
"Votes [Grosse Pointe Blank (1997, 1:47)]",GrossPointeBlank
"Votes [Trading Places (1983, 1:56)]",TradingPlaces
"Votes [John Wick (2014, 1:41)]",JohnWick
"Votes [Blade (1998, 2:00)]",Blade
